<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20191028;170000;85.5000000;86.5000000;85.5000000;86.0000000;40
20191028;190000;85.5000000;85.5000000;85.5000000;85.5000000;70
20191030;130000;84.5000000;85.0000000;83.0000000;85.0000000;350
20191030;150000;85.0000000;85.0000000;85.0000000;85.0000000;10
20191030;160000;85.0000000;85.0000000;85.0000000;85.0000000;10
20191030;180000;85.5000000;85.5000000;85.5000000;85.5000000;10
20191030;190000;85.0000000;85.5000000;83.5000000;85.5000000;130
20191031;110000;87.5000000;89.0000000;86.0000000;88.5000000;550
20191031;130000;89.0000000;89.5000000;89.0000000;89.5000000;30
20191031;150000;89.0000000;89.5000000;89.0000000;89.5000000;70
20191031;160000;89.0000000;89.5000000;89.0000000;89.5000000;20
20191031;190000;88.5000000;88.5000000;88.5000000;88.5000000;20
20191101;110000;87.5000000;88.5000000;87.5000000;88.5000000;260
20191101;140000;85.5000000;86.5000000;85.0000000;86.5000000;110
20191101;150000;85.0000000;85.0000000;85.0000000;85.0000000;10
20191101;180000;86.5000000;87.0000000;85.0000000;86.0000000;80
20191101;190000;85.0000000;85.0000000;85.0000000;85.0000000;110
20191105;110000;88.5000000;88.5000000;88.0000000;88.0000000;20
20191105;140000;88.0000000;114.0000000;88.0000000;109.0000000;4280
20191105;150000;105.5000000;110.0000000;85.0000000;85.0000000;6220
20191105;160000;87.5000000;93.0000000;87.5000000;91.0000000;1740
20191105;170000;90.0000000;91.5000000;88.5000000;90.0000000;390
20191105;180000;91.0000000;91.0000000;86.0000000;86.0000000;1720
20191105;190000;86.0000000;90.0000000;85.0000000;87.0000000;1450
20191106;110000;87.0000000;88.0000000;86.0000000;88.0000000;1710
20191106;120000;87.5000000;87.5000000;85.0000000;86.0000000;660
20191106;130000;86.0000000;86.0000000;86.0000000;86.0000000;80
20191106;140000;86.0000000;86.0000000;84.5000000;84.5000000;270
20191106;150000;85.5000000;85.5000000;83.5000000;85.5000000;460
20191106;160000;85.5000000;85.5000000;85.5000000;85.5000000;40
20191106;170000;84.5000000;86.5000000;84.0000000;84.5000000;210
20191106;180000;86.0000000;86.5000000;86.0000000;86.5000000;50
20191106;190000;86.0000000;86.0000000;86.0000000;86.0000000;110
20191107;120000;84.0000000;86.5000000;83.5000000;86.5000000;60
20191107;130000;86.5000000;86.5000000;85.0000000;85.0000000;30
20191107;140000;86.5000000;87.0000000;86.5000000;87.0000000;160
20191107;160000;87.0000000;87.5000000;86.0000000;86.5000000;80
20191107;180000;86.0000000;86.0000000;85.5000000;85.5000000;130
20191107;190000;85.0000000;85.0000000;85.0000000;85.0000000;10
20191108;110000;84.5000000;87.0000000;84.0000000;87.0000000;90
20191108;120000;86.5000000;86.5000000;86.5000000;86.5000000;30
20191108;140000;85.0000000;86.5000000;85.0000000;86.5000000;110
20191108;150000;87.0000000;87.0000000;87.0000000;87.0000000;10
20191108;190000;85.0000000;85.0000000;84.0000000;84.0000000;170
20191111;110000;85.5000000;85.5000000;85.5000000;85.5000000;10
20191111;120000;85.5000000;87.0000000;85.5000000;87.0000000;70
20191111;140000;86.5000000;86.5000000;86.5000000;86.5000000;40
20191111;150000;85.0000000;85.0000000;81.5000000;85.0000000;680
20191111;160000;85.0000000;85.0000000;85.0000000;85.0000000;10
20191112;120000;85.0000000;85.5000000;85.0000000;85.5000000;80
20191112;150000;84.0000000;85.0000000;83.0000000;85.0000000;630
20191112;180000;83.5000000;83.5000000;83.5000000;83.5000000;50
20191113;110000;86.5000000;86.5000000;86.5000000;86.5000000;100
20191113;120000;86.5000000;86.5000000;86.5000000;86.5000000;110
20191113;140000;86.0000000;86.0000000;86.0000000;86.0000000;80
20191113;150000;86.0000000;86.0000000;86.0000000;86.0000000;40
20191113;160000;84.5000000;84.5000000;84.0000000;84.0000000;30
20191113;170000;86.0000000;86.0000000;86.0000000;86.0000000;30
20191113;180000;86.0000000;86.0000000;86.0000000;86.0000000;10
20191113;190000;86.0000000;86.0000000;86.0000000;86.0000000;60
20191114;110000;86.0000000;86.0000000;86.0000000;86.0000000;10
20191114;150000;86.0000000;86.0000000;86.0000000;86.0000000;90
20191114;180000;84.5000000;84.5000000;84.5000000;84.5000000;70
